log_dissolution_rate_mol_m2_s,roughness_factor_diam_50um,roughness_factor_diam_396um,roughness_factor_diam_990um
-9.0,4.0074621566979225,32.00256439187893,79.9941682236178
-9.04040404040404,4.398184769736104,35.12277491269911,87.79350087206427
-9.080808080808081,4.827002355195748,38.547202107377856,96.35325882540434
-9.121212121212121,5.297629125859399,42.30550672605847,105.74758261211402
-9.16161616161616,5.814141425670741,46.43024140540729,116.05784137066995
-9.202020202020202,6.381013037075692,50.957132623979206,127.37333763009954
-9.242424242424242,7.0031539307856585,55.92539014788303,139.79208080576427
-9.282828282828284,7.685952793595123,61.37804664701931,153.4216361100322
-9.323232323232324,8.435323702608542,67.36233042347881,168.38005623068503
-9.363636363636363,9.257757350147177,73.93007448050322,184.7969038468279
-9.404040404040405,10.16037726302082,81.1381654751622,202.81437383883315
-9.444444444444445,11.15100150310905,89.04903644336169,222.58852491236624
-9.484848484848484,12.238210383673378,97.73120756493549,244.29063130424197
-9.525252525252526,13.431420787925868,107.25987965266259,268.1086662779256
-9.565656565656566,14.740967733566393,117.71758550573081,294.2489302580127
-9.606060606060606,16.178193889762063,129.19490476936264,322.9378377058208
-9.646464646464647,17.755547821921216,141.79124849236882,354.42387821313616
-9.686868686868687,19.48669181521143,155.6157201780937,388.9797688001777
-9.727272727272727,21.38662021073815,170.78806078677047,426.90481605996877
-9.767676767676768,23.471789279354027,187.4396858744341,468.52750860885715
-9.808080808080808,25.760259758004157,205.71482385159734,514.2083622977572
-9.848484848484848,28.271853283189973,225.77176522074927,564.3430428279938
-9.88888888888889,31.02832407650188,247.78423361296106,619.3657928183197
-9.929292929292929,34.05354736927924,271.9428904988674,679.753193006733
-9.969696969696969,37.373726198443215,298.45698660711986,746.0282901648513
-10.01010101010101,41.01761836466703,327.55617435409255,818.765127478822
-10.05050505050505,45.0167855186873,359.4924969832442,898.5937166367705
-10.090909090909092,49.40586653322513,394.5425716431278,986.2054946886753
-10.131313131313131,54.2228775283292,433.0099853127878,1082.3593129432884
-10.171717171717171,59.509541148822386,475.2279243269503,1187.8880097751696
-10.212121212121213,65.31164794589095,521.5620602766568,1303.7056242722554
-10.252525252525253,71.67945299293233,572.413717281645,1430.8153132051525
-10.292929292929292,78.66811117096067,628.2233480678957,1570.3180398912132
-10.333333333333334,86.33815489380004,689.4743489584317,1723.4221102120862
-10.373737373737374,94.75601841089367,756.6972468210063,1891.4536383811997
-10.414141414141415,103.99461322899339,830.4742942380511,2075.8680331107216
-10.454545454545455,114.1339596367479,911.4445126999767,2278.262603665512
-10.494949494949495,125.26187980216494,1000.3092275036431,2500.3903949918918
-10.535353535353536,137.47475844621596,1097.8381422965638,2744.1753717543033
-10.575757575757576,150.8783776811779,1204.8760058816672,3011.729082796792
-10.616161616161616,165.58883324468758,1322.349929027332,3305.368950369009
-10.656565656565657,181.7335400654806,1451.277414657331,3627.638342529075
-10.696969696969697,199.45233587054753,1592.7751709743725,3981.3286025809302
-10.737373737373737,218.898692392632,1748.0687838523627,4369.503226354759
-10.777777777777779,240.2410446689585,1918.5033322749211,4795.524396742287
-10.818181818181818,263.6642499449437,2105.555038766038,5263.082105316485
-10.858585858585858,289.37118881922794,2310.8440557234067,5776.226113273428
-10.8989898989899,317.5845224983615,2536.1484984034123,6339.401028526358
-10.93939393939394,348.548621381653,2783.4198461048095,6957.484802773079
-10.97979797979798,382.5316816806702,3054.799844948896,7635.830981980141
-11.02020202020202,419.8280484065193,3352.6390586598013,8380.315076236857
-11.06060606060606,460.7607648455133,3679.517228022928,9197.385450612783
-11.1010101010101,505.6843706055865,4038.26561536559,10094.119177811312
-11.141414141414142,554.9879724687656,4431.991527596803,11078.283336387725
-11.181818181818182,609.0986146479637,4864.105230213168,12158.402285467806
-11.222222222222221,668.48497763967,5338.3494853872635,13343.831498668853
-11.262626262626263,733.6614377101928,5858.831969983027,14644.838596736457
-11.303030303030303,805.1925221767962,6430.060854287613,16072.6922807633
-11.343434343434343,883.6977990732726,7056.98384962587,17639.759936287468
-11.383838383838384,969.8572435518499,7745.031063068847,19359.614753669415
-11.424242424242424,1064.4171275026522,8500.16203042342,21247.15329257331
-11.464646464646465,1168.1964834038288,9328.917334880678,23318.72450884099
-11.505050505050505,1282.0941983890295,10238.475258418299,25592.271361325624
-11.545454545454547,1407.0967999777731,11236.713956645313,28087.486225218243
-11.585858585858587,1544.2870009048333,12332.279695616806,30825.981457980193
-11.626262626262626,1694.8530770600262,13534.661741654509,33831.476595245054
-11.666666666666668,1860.0991597654915,14854.274552831961,37130.003798088765
-11.707070707070708,2041.4565315372945,16302.547984027968,40750.13333115484
-11.747474747474747,2240.4960231699133,17892.02628686198,44723.22102461981
-11.787878787878789,2458.9416195210883,19636.476762000384,49083.67986339347
-11.828282828282829,2698.685391843887,21551.009004928474,53869.278055930634
-11.868686868686869,2961.803886002806,23652.2057780387,59121.46616438596
-11.90909090909091,3250.5761085206245,25958.266642585273,64885.736129553254
-11.94949494949495,3567.5032662426024,28489.165594576873,71212.01530029277
-11.98989898989899,3915.3304305936963,31266.824069975322,78155.09888034384
-12.030303030303031,4297.070314073989,34315.30081768658,85775.12453816531
-12.070707070707071,4716.029364933055,37661.00028493383,94138.09329064946
-12.11111111111111,5175.836406043021,41332.901319948454,103316.44117235777
-12.151515151515152,5680.474066026246,45362.80817288985,113389.66664179889
-12.191919191919192,6234.313274879118,49785.62596904485,124445.01915904327
-12.232323232323232,6842.151122876793,54639.66304032568,136578.2548988095
-12.272727272727273,7509.2524106742285,59966.962733714165,149894.46614463977
-12.313131313131313,8241.395250490708,65813.66757061929,164508.9915479826
-12.353535353535353,9044.921113353876,72230.41891132496,180548.41513641825
-12.393939393939394,9926.789755887987,79272.79558622565,198151.6627239474
-12.434343434343434,10894.639502396163,87001.79529306591,217471.20521992832
-12.474747474747474,11956.853404371654,95484.36292981927,238674.37925915807
-12.515151515151516,13122.631850479373,104793.97043936787,261944.83659174817
-12.555555555555555,14402.072255920946,115011.25318832186,287484.1347867235
-12.595959595959597,15806.256521415075,126224.7083919929,315513.4830272692
-12.636363636363637,17347.34701931959,138531.46163493302,346275.6581188418
-12.676767676767676,19038.691938282864,152038.1081262874,380037.1073057238
-12.717171717171718,20894.940898868103,166861.6359765007,417090.25610958517
-12.757575757575758,22932.171841558076,183130.43949236095,457756.0411794516
-12.7979797979798,25168.03028618468,200985.43126706747,502386.69009143807
-12.83838383838384,27621.88216897949,220581.2626976957,551368.7721754949
-12.878787878787879,30314.981581049607,242087.6635016202,605126.546794027
-12.91919191919192,33270.654861146766,265690.9118341272,664125.6380735224
-12.95959595959596,36514.502637254074,291595.4477406787,728877.067917978
-13.0,40074.62156697923,320025.64391878934,799941.6822361782
